City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
520,mokhsogollokh,61.4681,128.9203,-31.54,96,100,1.9,RU,1706748760
521,siracusa,37.0881,15.2792,6.29,67,14,2.71,IT,1706748760
522,ouargla,31.9493,5.325,9.04,57,0,1.54,DZ,1706748760
523,yichang,30.7144,111.2847,5.05,89,100,0.17,CN,1706748651
524,swakopmund,-22.6833,14.5333,18.47,86,95,1.34,NA,1706748760
525,zhumysker,49.3333,49.4,-7.3,94,100,3.72,KZ,1706748760
526,sandnessjoen,66.0217,12.6316,1.29,86,100,19.92,NO,1706748760
527,manaure,11.7751,-72.4445,26.03,78,100,7.47,CO,1706748761
528,freetown,8.484,-13.2299,27.84,83,20,2.57,SL,1706748761
529,kayangel,8.0823,134.7173,27.41,83,89,10.05,PW,1706748761
530,belabo,4.9333,13.3,20.11,33,88,1.08,CM,1706748761
531,bowen,-20.0167,148.2333,27.54,78,100,2.19,AU,1706748761
532,kuandian,40.7286,124.7847,-16.04,74,7,3.41,CN,1706748761
533,winkler,49.1817,-97.941,5.1,70,5,3.6,CA,1706748761
534,kaitong,44.8135,123.15,-18.6,66,0,2.7,CN,1706748761
535,touros,-5.1989,-35.4608,27.17,74,17,5.98,BR,1706748762
536,salekhard,66.53,66.6019,-19.23,98,100,3.47,RU,1706748762
537,novyy urengoy,66.0833,76.6333,-20.36,99,88,3.85,RU,1706748762
538,nova vicosa,-17.8919,-39.3719,25.63,87,47,4.66,BR,1706748762
539,lockwood,45.8191,-108.4149,14.94,45,0,0.0,US,1706748762
540,adamovka,51.5223,59.9396,-18.54,100,89,2.17,RU,1706748762
541,fort mcmurray,56.7268,-111.381,5.77,60,0,5.14,CA,1706748762
542,suriapet,17.15,79.6167,18.1,98,92,2.54,IN,1706748762
543,pisco,-13.7,-76.2167,24.03,78,75,8.23,PE,1706748735
544,tulun,54.5611,100.5792,-32.28,100,89,1.37,RU,1706748763
545,hammerfest,70.6634,23.6821,1.25,80,100,7.2,NO,1706748763
546,moyynkum,44.2914,72.9469,-3.35,87,100,3.13,KZ,1706748763
547,vanino,49.0869,140.2543,-17.26,67,14,4.75,RU,1706748763
548,ceeldheer,3.8488,47.1806,25.15,81,100,6.41,SO,1706748763
549,vallenar,-28.5708,-70.7581,22.61,65,0,1.39,CL,1706748763
550,tremp,42.167,0.8949,8.49,61,0,1.92,ES,1706748763
551,scalea,39.813,15.7956,8.86,66,10,1.41,IT,1706748763
552,nikol'sk,53.7189,46.0712,-3.3,97,100,3.0,RU,1706748764
